batch,query,position,url,domain,is_ad_marked,format,url_norm
Вставленный текст.txt,,1,https://www.euaa.europa.eu/country-origin-information,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/country-origin-information
Вставленный текст.txt,,2,https://www.euaa.europa.eu/asylum-report-2023/section-412-country-origin-information,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/asylum-report-2023/section-412-country-origin-information
Вставленный текст.txt,,3,https://www.refworld.org/document-sources/austrian-centre-country-origin-and-asylum-research-and-documentation-accord,refworld.org,False,HTML,https://www.refworld.org/document-sources/austrian-centre-country-origin-and-asylum-research-and-documentation-accord
Вставленный текст.txt,,4,https://www.euaa.europa.eu/asylum-report-2020/710-country-origin-information,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/asylum-report-2020/710-country-origin-information
Вставленный текст.txt,,5,https://academic.oup.com/ijrl/article/34/2/241/6757709,academic.oup.com,False,HTML,https://academic.oup.com/ijrl/article/34/2/241/6757709
Вставленный текст.txt,,6,https://globallawexperts.com/asylum-vs-humanitarian-protection-uk-2026-2/,globallawexperts.com,False,HTML,https://globallawexperts.com/asylum-vs-humanitarian-protection-uk-2026-2
Вставленный текст.txt,,7,https://data.worldbank.org/indicator/SM.POP.ASYS.EO?locations=PL,data.worldbank.org,False,HTML,https://data.worldbank.org/indicator/SM.POP.ASYS.EO?locations=PL
Вставленный текст.txt,,8,https://www.infomigrants.net/en/post/71665/eu-reaches-deal-on-return-hubs-for-rejected-asylumseekers,infomigrants.net,False,HTML,https://www.infomigrants.net/en/post/71665/eu-reaches-deal-on-return-hubs-for-rejected-asylumseekers
Вставленный текст.txt,,10,https://www.unhcr.org/what-we-do/data-and-publications/reports-and-publications,unhcr.org,False,HTML,https://www.unhcr.org/what-we-do/data-and-publications/reports-and-publications
Вставленный текст.txt,,11,https://www.euaa.europa.eu/publications/coi-report-methodology,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/publications/coi-report-methodology
Вставленный текст.txt,country conditions evidence asylum,1,https://cgrs.uclawsf.edu/sites/default/files/CGRS-CA_Country%20Conditions%20Pro%20Se%20Manual_June%202020.pdf,cgrs.uclawsf.edu,False,PDF,https://cgrs.uclawsf.edu/sites/default/files/CGRS-CA_Country%20Conditions%20Pro%20Se%20Manual_June%202020.pdf
Вставленный текст.txt,country conditions evidence asylum,2,https://immigrationequality.org/legal/legal-help/resources/country-conditions-index/,immigrationequality.org,False,HTML,https://immigrationequality.org/legal/legal-help/resources/country-conditions-index
Вставленный текст.txt,country conditions evidence asylum,3,https://immigrationjustice.us/get-trained/asylum/country-conditions-research/,immigrationjustice.us,False,HTML,https://immigrationjustice.us/get-trained/asylum/country-conditions-research
Вставленный текст.txt,country conditions evidence asylum,4,https://immigrationequality.org/asylum/asylum-manual/preparing-the-application-corroborating-country-conditions/,immigrationequality.org,False,HTML,https://immigrationequality.org/asylum/asylum-manual/preparing-the-application-corroborating-country-conditions
Вставленный текст.txt,country conditions evidence asylum,5,https://libguides.law.villanova.edu/immigration/countryconditions,libguides.law.villanova.edu,False,HTML,https://libguides.law.villanova.edu/immigration/countryconditions
Вставленный текст.txt,country conditions evidence asylum,6,https://www.unhcr.org/us/what-we-do/u-s-asylum-resources/country-information-and-guidance,unhcr.org,False,HTML,https://www.unhcr.org/us/what-we-do/u-s-asylum-resources/country-information-and-guidance
Вставленный текст.txt,country conditions evidence asylum,7,https://www.theadvocatesforhumanrights.org/res/Country%20Conditions%20Resources.pdf,theadvocatesforhumanrights.org,False,PDF,https://www.theadvocatesforhumanrights.org/res/Country%20Conditions%20Resources.pdf
Вставленный текст.txt,country conditions evidence asylum,8,https://libguides.law.berkeley.edu/c.php?g=458043&p=3130726,libguides.law.berkeley.edu,False,HTML,https://libguides.law.berkeley.edu/c.php?g=458043&p=3130726
Вставленный текст.txt,country conditions evidence asylum,10,https://www.repository.law.indiana.edu/cgi/viewcontent.cgi?article=1210&context=ijgls,repository.law.indiana.edu,False,HTML,https://www.repository.law.indiana.edu/cgi/viewcontent.cgi?article=1210&context=ijgls
Вставленный текст.txt,COI report asylum,3,https://rightsinexile.org/country-of-origin-information/,rightsinexile.org,False,HTML,https://rightsinexile.org/country-of-origin-information
Вставленный текст.txt,COI report asylum,4,https://www.unhcr.org/resettlement-handbook/1-refugee-status-and-resettlement/1-3-tools-and-resources-for-determining-refugee-status-under-unhcrs-mandate/,unhcr.org,False,HTML,https://www.unhcr.org/resettlement-handbook/1-refugee-status-and-resettlement/1-3-tools-and-resources-for-determining-refugee-status-under-unhcrs-mandate
Вставленный текст.txt,COI report asylum,5,https://asylummatters.org/2025/11/21/advocacy-update-20th-november-2025/,asylummatters.org,False,HTML,https://asylummatters.org/2025/11/21/advocacy-update-20th-november-2025
Вставленный текст.txt,COI report asylum,6,https://libguides.law.umn.edu/immigrationlaw/countryconditions,libguides.law.umn.edu,False,HTML,https://libguides.law.umn.edu/immigrationlaw/countryconditions
Вставленный текст.txt,COI report asylum,7,https://guides.brooklaw.edu/refugee/COI,guides.brooklaw.edu,False,HTML,https://guides.brooklaw.edu/refugee/COI
Вставленный текст.txt,COI report asylum,8,https://www.facebook.com/EUAsylumAgency/posts/-the-euaa-has-published-a-country-of-origin-report-on-pakistan-%EF%B8%8F-the-report-high/1310900134552702/,facebook.com,False,HTML,https://www.facebook.com/EUAsylumAgency/posts/-the-euaa-has-published-a-country-of-origin-report-on-pakistan-%EF%B8%8F-the-report-high/1310900134552702
Вставленный текст.txt,COI report asylum,9,https://www.refworld.org/themes/custom/unhcr_rw/pdf-js/viewer.html?file=https%3A%2F%2Fwww.refworld.org%2Fsites%2Fdefault%2Ffiles%2Fattachments%2F4f13c6ba2.pdf,refworld.org,False,PDF,https://www.refworld.org/themes/custom/unhcr_rw/pdf-js/viewer.html?file=https%3A%2F%2Fwww.refworld.org%2Fsites%2Fdefault%2Ffiles%2Fattachments%2F4f13c6ba2.pdf
Вставленный текст.txt,country conditions report asylum,5,https://www.state.gov/reports-bureau-of-democracy-human-rights-and-labor/country-reports-on-human-rights-practices,state.gov,False,HTML,https://www.state.gov/reports-bureau-of-democracy-human-rights-and-labor/country-reports-on-human-rights-practices
Вставленный текст.txt,asylum supporting evidence,1,https://olivia-orr-e2c7.squarespace.com/s/Evidence-to-support-Form-I-589-English-June-2023.pdf,olivia-orr-e2c7.squarespace.com,False,PDF,https://olivia-orr-e2c7.squarespace.com/s/Evidence-to-support-Form-I-589-English-June-2023.pdf
Вставленный текст.txt,asylum supporting evidence,2,https://www.refugeecardiff.com/asylum-seeker-information-support,refugeecardiff.com,False,HTML,https://www.refugeecardiff.com/asylum-seeker-information-support
Вставленный текст.txt,asylum supporting evidence,3,https://www.migranthelpuk.org/pages/category/asylum,migranthelpuk.org,False,HTML,https://www.migranthelpuk.org/pages/category/asylum
Вставленный текст.txt,asylum supporting evidence,4,https://www.euaa.europa.eu/sites/default/files/publications/2024-02/Practical-Guide-Evidence-Risk-Assessment.pdf,euaa.europa.eu,False,PDF,https://www.euaa.europa.eu/sites/default/files/publications/2024-02/Practical-Guide-Evidence-Risk-Assessment.pdf
Вставленный текст.txt,asylum supporting evidence,5,https://legalarmstrong.com/evidence-documents-to-support-an-asylum-application/,legalarmstrong.com,False,HTML,https://legalarmstrong.com/evidence-documents-to-support-an-asylum-application
Вставленный текст.txt,asylum supporting evidence,6,https://help.unhcr.org/global/asylum-and-refugee-status/,help.unhcr.org,False,HTML,https://help.unhcr.org/global/asylum-and-refugee-status
Вставленный текст.txt,asylum supporting evidence,7,https://immigrationjustice.us/get-trained/asylum/application-declaration-evidence/,immigrationjustice.us,False,HTML,https://immigrationjustice.us/get-trained/asylum/application-declaration-evidence
Вставленный текст.txt,asylum supporting evidence,8,https://www.echr.coe.int/documents/d/echr/Speech_20170127_Ravarani_JY_ENG,echr.coe.int,False,HTML,https://www.echr.coe.int/documents/d/echr/Speech_20170127_Ravarani_JY_ENG
Вставленный текст.txt,asylum supporting evidence,10,https://www.rifnyc.org/evidence,rifnyc.org,False,HTML,https://www.rifnyc.org/evidence
Вставленный текст.txt,how to document country conditions for asylum,4,https://www.tahirih.org/wp-content/uploads/2015/06/Asylum-Affirmative-Asylum-Country-Conditions-Sample-Packet.pdf,tahirih.org,False,PDF,https://www.tahirih.org/wp-content/uploads/2015/06/Asylum-Affirmative-Asylum-Country-Conditions-Sample-Packet.pdf
Вставленный текст.txt,how to document country conditions for asylum,10,https://immigrationequality.org/asylum/asylum-manual/preparing-the-application-indexed-country-conditions-sample/,immigrationequality.org,False,HTML,https://immigrationequality.org/asylum/asylum-manual/preparing-the-application-indexed-country-conditions-sample
Вставленный текст(1).txt,asylum expert witness report,1,https://www.tahirih.org/wp-content/uploads/2015/07/Asylum-Guidelines-for-Serving-as-an-Expert-Witness.pdf,tahirih.org,False,PDF,https://www.tahirih.org/wp-content/uploads/2015/07/Asylum-Guidelines-for-Serving-as-an-Expert-Witness.pdf
Вставленный текст(1).txt,asylum expert witness report,2,https://www.londontraumaspecialists.com/expert-witness-reports/,londontraumaspecialists.com,False,HTML,https://www.londontraumaspecialists.com/expert-witness-reports
Вставленный текст(1).txt,asylum expert witness report,3,https://www.jstor.org/content/pdf/oa_chapter_edited/j.ctt1rfsp0z.9,jstor.org,False,HTML,https://www.jstor.org/content/pdf/oa_chapter_edited/j.ctt1rfsp0z.9
Вставленный текст(1).txt,asylum expert witness report,4,https://cgrs.uclawsf.edu/en/expert-witness-database,cgrs.uclawsf.edu,False,HTML,https://cgrs.uclawsf.edu/en/expert-witness-database
Вставленный текст(1).txt,asylum expert witness report,5,https://www.africanhrc.org/services-9,africanhrc.org,False,HTML,https://www.africanhrc.org/services-9
Вставленный текст(1).txt,asylum expert witness report,6,https://www.expertwitness.international/expert/5882225e78ad1f6c6e8b456a,expertwitness.international,False,HTML,https://www.expertwitness.international/expert/5882225e78ad1f6c6e8b456a
Вставленный текст(1).txt,asylum expert witness report,7,https://connaughtlaw.com/immigration/human-rights-and-asylum/,connaughtlaw.com,False,HTML,https://connaughtlaw.com/immigration/human-rights-and-asylum
Вставленный текст(1).txt,asylum expert witness report,8,https://academic.oup.com/jrs/article/34/4/3793/6148907,academic.oup.com,False,HTML,https://academic.oup.com/jrs/article/34/4/3793/6148907
Вставленный текст(1).txt,asylum expert witness report,9,https://lccrsf.org/wp-content/uploads/D2-Session-3-_Working-with-Expert-Witnesses.pdf,lccrsf.org,False,PDF,https://lccrsf.org/wp-content/uploads/D2-Session-3-_Working-with-Expert-Witnesses.pdf
Вставленный текст(1).txt,country conditions expert asylum,2,https://academic.oup.com/isp/article/25/4/518/7614786,academic.oup.com,False,HTML,https://academic.oup.com/isp/article/25/4/518/7614786
Вставленный текст(1).txt,country conditions expert asylum,3,https://www.americanbar.org/groups/public_interest/immigration/events-and-cle/engaging-country-conditions-experts-in-asylum-cases/,americanbar.org,False,HTML,https://www.americanbar.org/groups/public_interest/immigration/events-and-cle/engaging-country-conditions-experts-in-asylum-cases
Вставленный текст(1).txt,country conditions expert asylum,7,https://www.countryconditions.expert/,countryconditions.expert,False,HTML,https://www.countryconditions.expert
Вставленный текст(1).txt,country conditions expert asylum,9,https://resources.humanrightsfirst.org/wp-content/uploads/2022/07/AILA-Working-with-Country-Conditions-Experts-October-2021.pdf,resources.humanrightsfirst.org,False,PDF,https://resources.humanrightsfirst.org/wp-content/uploads/2022/07/AILA-Working-with-Country-Conditions-Experts-October-2021.pdf
Вставленный текст(1).txt,asylum country conditions expert,5,https://www.euaa.europa.eu/careers/remunerated-external-experts,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/careers/remunerated-external-experts
Вставленный текст(1).txt,asylum country conditions expert,6,https://elevencanterbury.com/services/expert-witness-and-litigation-consulting/,elevencanterbury.com,True,HTML,https://elevencanterbury.com/services/expert-witness-and-litigation-consulting
Вставленный текст(1).txt,asylum country conditions expert,7,https://www.diverselegal.com/immigration-human-rights-country-expert-reports,diverselegal.com,False,HTML,https://www.diverselegal.com/immigration-human-rights-country-expert-reports
Вставленный текст(1).txt,immigration expert witness asylum,3,https://logankingsley.com/asylum-lawyer.html,logankingsley.com,False,HTML,https://logankingsley.com/asylum-lawyer.html
Вставленный текст(1).txt,immigration expert witness asylum,7,https://witness-experts.com/country-experts,witness-experts.com,False,HTML,https://witness-experts.com/country-experts
Вставленный текст(1).txt,immigration expert witness asylum,8,https://ideas.repec.org/a/gam/jlawss/v11y2022i2p32-d787577.html,ideas.repec.org,False,HTML,https://ideas.repec.org/a/gam/jlawss/v11y2022i2p32-d787577.html
Вставленный текст(1).txt,immigration expert witness asylum,11,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3A5F2DE04185A463BB60078162E77C3E/S2056467824000422a.pdf/psychiatric_evidence_in_immigration_and_asylum_cases_a_tale_of_two_experts.pdf,cambridge.org,False,PDF,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3A5F2DE04185A463BB60078162E77C3E/S2056467824000422a.pdf/psychiatric_evidence_in_immigration_and_asylum_cases_a_tale_of_two_experts.pdf
Вставленный текст(1).txt,immigration expert witness asylum,12,https://www.slchambers.co.uk/immigration-law,slchambers.co.uk,False,HTML,https://www.slchambers.co.uk/immigration-law
Вставленный текст(1).txt,immigration expert witness asylum,13,https://www.britsolicitors.com/immigration,britsolicitors.com,False,HTML,https://www.britsolicitors.com/immigration
Вставленный текст(1).txt,expert declaration asylum,1,https://www.amdreamcenter.com/,amdreamcenter.com,True,HTML,https://www.amdreamcenter.com
Вставленный текст(1).txt,expert declaration asylum,3,https://www.gherson.com/individuals/human-rights-and-asylum/,gherson.com,False,HTML,https://www.gherson.com/individuals/human-rights-and-asylum
Вставленный текст(1).txt,expert declaration asylum,4,https://www.no5.com/legal-expertise/immigration-asylum-and-nationality/,no5.com,False,HTML,https://www.no5.com/legal-expertise/immigration-asylum-and-nationality
Вставленный текст(1).txt,expert declaration asylum,5,https://www.tahirih.org/wp-content/uploads/2015/06/Asylum-Sample-Country-Expert-Affidavit1.pdf,tahirih.org,False,PDF,https://www.tahirih.org/wp-content/uploads/2015/06/Asylum-Sample-Country-Expert-Affidavit1.pdf
Вставленный текст(1).txt,expert declaration asylum,7,https://www.migranthelpuk.org/,migranthelpuk.org,False,HTML,https://www.migranthelpuk.org
Вставленный текст(1).txt,expert declaration asylum,9,https://law.unc.edu/wp-content/uploads/2019/10/expertwitnesshandbook.pdf,law.unc.edu,False,PDF,https://law.unc.edu/wp-content/uploads/2019/10/expertwitnesshandbook.pdf
Вставленный текст(1).txt,expert declaration asylum,10,https://www.cliniclegal.org/resources/removal-proceedings/instructions-witness-declarations-support-their-asylum-application,cliniclegal.org,False,HTML,https://www.cliniclegal.org/resources/removal-proceedings/instructions-witness-declarations-support-their-asylum-application
Вставленный текст(1).txt,expert declaration asylum,13,https://www.boaztrust.org.uk/,boaztrust.org.uk,True,HTML,https://www.boaztrust.org.uk
Вставленный текст(1).txt,asylum evidence packet,1,https://www.boaztrust.org.uk/articles/17-asylum-facts-and-stats,boaztrust.org.uk,False,HTML,https://www.boaztrust.org.uk/articles/17-asylum-facts-and-stats
Вставленный текст(1).txt,asylum evidence packet,3,https://www.uscis.gov/policy-manual/volume-7-part-m-chapter-4,uscis.gov,False,HTML,https://www.uscis.gov/policy-manual/volume-7-part-m-chapter-4
Вставленный текст(1).txt,asylum evidence packet,4,https://asaptogether.org/en/faqs-asylum-application/,asaptogether.org,False,HTML,https://asaptogether.org/en/faqs-asylum-application
Вставленный текст(1).txt,asylum evidence packet,7,https://asylummatters.org/2026/05/28/advocacy-update-28-may-2026/,asylummatters.org,False,HTML,https://asylummatters.org/2026/05/28/advocacy-update-28-may-2026
Вставленный текст(1).txt,asylum evidence packet,9,https://www.euaa.europa.eu/publications/practical-guide-evidence-assessment,euaa.europa.eu,False,HTML,https://www.euaa.europa.eu/publications/practical-guide-evidence-assessment
